"","lat","lng","type","distance","site","state","latitude","longitude"
"147",36.7389845,-97.0653961,"Essential Services",31177.6274204792,"1010975","Oklahoma",36.82491,-96.73257
"148",36.7381198,-97.0666057,"Essential Services",31310.0179095254,"1010975","Oklahoma",36.82491,-96.73257
"149",36.7244849,-97.0647597,"Essential Services",31659.5865168008,"1010975","Oklahoma",36.82491,-96.73257
"150",36.7412219,-97.0719799,"Essential Services",31662.2306152657,"1010975","Oklahoma",36.82491,-96.73257
"151",36.7381485,-97.0741318,"Essential Services",31947.9869796059,"1010975","Oklahoma",36.82491,-96.73257
"152",36.7393959,-97.0750768,"Essential Services",31986.4726621241,"1010975","Oklahoma",36.82491,-96.73257
"153",32.698412,-103.1333991,"Essential Services",2343.25616786209,"1012121","New Mexico",32.68204,-103.14912
"154",32.7010234,-103.1345505,"Essential Services",2515.71013539875,"1012121","New Mexico",32.68204,-103.14912
"155",32.7259947,-103.1229832,"Essential Services",5471.35651903159,"1012121","New Mexico",32.68204,-103.14912
"156",32.7414503,-103.15786,"Essential Services",6663.99666046643,"1012121","New Mexico",32.68204,-103.14912
"157",32.7552838,-103.1871339,"Essential Services",8896.87826849245,"1012121","New Mexico",32.68204,-103.14912
"158",32.7696639,-103.1835448,"Essential Services",10273.1998412615,"1012121","New Mexico",32.68204,-103.14912
"159",32.6249485,-103.2743347,"Essential Services",13346.1524360403,"1012121","New Mexico",32.68204,-103.14912
"160",32.841587,-103.131418,"Essential Services",17837.8293675011,"1012121","New Mexico",32.68204,-103.14912
"161",32.4370763,-103.1577845,"Essential Services",27281.3490028165,"1012121","New Mexico",32.68204,-103.14912
"162",32.7250559,-103.1293353,"Essential Services",5134.63617429612,"1012121","New Mexico",32.68204,-103.14912
"163",32.6238587,-103.2659155,"Essential Services",12719.2537154998,"1012121","New Mexico",32.68204,-103.14912
"164",32.4379934,-103.1584787,"Essential Services",27181.3293332364,"1012121","New Mexico",32.68204,-103.14912
"165",32.7026116,-103.1360403,"Essential Services",2597.25141058521,"1012121","New Mexico",32.68204,-103.14912
"166",32.7030719,-103.1360527,"Essential Services",2642.0011364052,"1012121","New Mexico",32.68204,-103.14912
"167",32.7031728,-103.1359215,"Essential Services",2657.65582901921,"1012121","New Mexico",32.68204,-103.14912
"168",32.703122,-103.1352596,"Essential Services",2682.11758012487,"1012121","New Mexico",32.68204,-103.14912
"169",32.7301221,-103.1243682,"Essential Services",5833.04837995009,"1012121","New Mexico",32.68204,-103.14912
"170",32.7696918,-103.1841478,"Essential Services",10294.0043995978,"1012121","New Mexico",32.68204,-103.14912
"171",32.7749309,-103.2020031,"Essential Services",11465.2888021592,"1012121","New Mexico",32.68204,-103.14912
"172",32.4418754,-103.1716613,"Essential Services",26818.5170797983,"1012121","New Mexico",32.68204,-103.14912
"173",32.7031731,-103.1365173,"Essential Services",2632.18014445922,"1012121","New Mexico",32.68204,-103.14912
"174",32.7234481,-103.1286282,"Essential Services",4993.2349866466,"1012121","New Mexico",32.68204,-103.14912
"175",32.4377399,-103.1577663,"Essential Services",27207.459224721,"1012121","New Mexico",32.68204,-103.14912
"176",32.4375796,-103.1574095,"Essential Services",27224.3189170897,"1012121","New Mexico",32.68204,-103.14912
"177",32.6970559,-103.1359666,"Essential Services",2076.7058511969,"1012121","New Mexico",32.68204,-103.14912
"178",32.7017568,-103.1379918,"Essential Services",2429.88286988944,"1012121","New Mexico",32.68204,-103.14912
"179",32.710475,-103.136657,"Essential Services",3373.82789049507,"1012121","New Mexico",32.68204,-103.14912
"180",32.710916,-103.137183,"Essential Services",3403.42053881943,"1012121","New Mexico",32.68204,-103.14912
"181",32.7109633,-103.1358896,"Essential Services",3450.04651068723,"1012121","New Mexico",32.68204,-103.14912
"182",32.7214703,-103.1422609,"Essential Services",4436.13870131968,"1012121","New Mexico",32.68204,-103.14912
"183",32.7252865,-103.1456757,"Essential Services",4824.97749512263,"1012121","New Mexico",32.68204,-103.14912
"184",32.726185,-103.142552,"Essential Services",4952.56199505472,"1012121","New Mexico",32.68204,-103.14912
"185",32.7253851,-103.162685,"Essential Services",4989.66096313682,"1012121","New Mexico",32.68204,-103.14912
"186",32.7251594,-103.1339018,"Essential Services",5007.23706844892,"1012121","New Mexico",32.68204,-103.14912
"187",32.739577,-103.149004,"Essential Services",6404.99875737484,"1012121","New Mexico",32.68204,-103.14912
"188",32.7408714,-103.1512835,"Essential Services",6552.21585650068,"1012121","New Mexico",32.68204,-103.14912
"189",32.7417043,-103.155675,"Essential Services",6670.11673633364,"1012121","New Mexico",32.68204,-103.14912
"190",32.743388,-103.1443466,"Essential Services",6843.84744799307,"1012121","New Mexico",32.68204,-103.14912
"191",32.7435017,-103.1452078,"Essential Services",6851.69048621634,"1012121","New Mexico",32.68204,-103.14912
"192",32.7429966,-103.1600991,"Essential Services",6863.13578947279,"1012121","New Mexico",32.68204,-103.14912
