"","id","totalpop","less25","25to50","50to75","75to99","100to150","150to200","morethan200"
"55","1010178",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"56","1010199",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"57","1010206",1726.66666666667,19.8333333333333,23.4666666666667,22.5,13.4,14.3333333333333,4.86666666666667,1.53333333333333
"58","1010318",1136.88888888889,30.3444444444444,27.4666666666667,16.9222222222222,8.18888888888889,12.7555555555556,3.02222222222222,1.28888888888889
"59","1010324",2117.6,19.65,25.65,20.07,13.7,13.84,4.66,2.4
"60","1010407",3077.28571428571,16.5571428571429,22.5285714285714,19.7857142857143,19.2714285714286,15.9428571428571,3.92857142857143,2.04285714285714
"61","1010420",940,15.1,15.7,23.3,13.7,28.4,2.2,1.6
"62","1010440",954.666666666667,17.6333333333333,26.8583333333333,18.5666666666667,14.65,13.3666666666667,4.88333333333333,4.06666666666667
"63","1010507",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"64","1010508",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"65","1010657",1048.5,20.8,38.15,11.7,15.65,8,3.15,2.55
"66","1010975",1152.16666666667,15.3166666666667,24.3666666666667,24.1666666666667,10.9,15.4166666666667,5.23333333333333,4.51666666666667
"67","1011064",822,31.3,13.2,25.4,6.9,9.9,11.9,1.3
"68","1011121",169.333333333333,12.1666666666667,28.6333333333333,23.0333333333333,5.66666666666667,13.6333333333333,13.1,3.73333333333333
"69","1011122",13,0,100,0,0,0,0,0
"70","1011158",929.777777777778,18.3333333333333,32.4,14.7666666666667,12.8666666666667,11.9888888888889,6.76666666666667,2.88888888888889
"71","1011356",37,0,0,100,0,0,0,0
"72","1011385",210.5,19.1,28.05,11.95,22.5,13.7,2.9,1.85
"73","1011767",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"74","1011843",3375.66666666667,16.0333333333333,16.7333333333333,14.8666666666667,17.3333333333333,15.1333333333333,9.96666666666667,9.93333333333333
"75","1011908",3911.33333333333,11.6,17.2,18.1666666666667,14.5,21.4,4.13333333333333,12.9666666666667
"76","1011931",8561.71428571429,14.6142857142857,14.1857142857143,15.3285714285714,13.3285714285714,22.2142857142857,9.62857142857143,10.7285714285714
"77","1012091",3203,22,16.75,14.05,11.85,20.45,9.65,5.3
"78","1012092",4187,12.25,9.3,15.2,13.15,25.3,10.675,14.2
"79","1012121",4522.75,18.75,16.375,17.325,11,14.1,16.7,5.725
"80","1012519",978,29.525,16.85,13.175,15.075,13.275,10.925,1.15
"81","1012642",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"82","1012643",1014.14285714286,17.3,27.2142857142857,19.9285714285714,12.4571428571429,15.1857142857143,3.94285714285714,3.94285714285714
"83","1012677",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"84","1012688",1048.5,20.8,38.15,11.7,15.65,8,3.15,2.55
"85","1012703",488,29.7,19.9,15.2,12.1,20.3,2.7,0.2
"86","1013183",912,8.76666666666667,17.6666666666667,12.2666666666667,8.5,25.5666666666667,13.4,13.7666666666667
"87","1013609",1024,7.23333333333333,11.1333333333333,46.8666666666667,16.8,8.63333333333333,3.36666666666667,5.96666666666667
"88","1013701",1535,10.85,16.7,20.3,25.2,12.95,5.05,8.95
"89","1013793",3203,22,16.75,14.05,11.85,20.45,9.65,5.3
"90","1013810",1072.27272727273,13,13.8818181818182,30.5909090909091,13.5818181818182,14.6545454545455,10.2363636363636,4.05454545454545
"91","1013859",1869,14.0666666666667,15.3333333333333,17.3666666666667,22.2,14.0333333333333,7.46666666666667,9.53333333333333
"92","1014467",1481.33333333333,18.8333333333333,21.7333333333333,14.0666666666667,12.4666666666667,21.7333333333333,8.4,2.76666666666667
"93","1014560",2289.41176470588,10.2647058823529,18.8705882352941,15.8117647058824,16.1058823529412,21.2941176470588,8.63529411764706,9.02352941176471
"94","1014609",417,16,11.2,23.6,10.2,23.3333333333333,6.13333333333333,9.56666666666667
"95","1014619",359,15.2666666666667,7.4,48.1333333333333,8.86666666666667,13.2,1.86666666666667,5.3
